Training Steps,Evaluation Reward
0,107.60412113948013
5036,114.4482038532281
10047,66.73906861080069
15336,77.633955312065
20022,41.51961120673355
25058,73.72280535184676
30001,25.34093697865806
35035,39.023647970623465
40046,83.3412598901325
45013,111.67919764916103
50012,43.47314486073129
55021,88.10027024605209
60002,93.44424741549632
65000,167.46828835871486
70022,190.93008807135948
75047,147.564595994643
80031,68.6520663535016
85016,68.34939243064993
90045,74.86559635235214
95023,171.72713197250346
100051,177.5561964382522
105037,188.583609311738
110044,129.61170026929014
115014,151.67146101593968
120047,111.32834413373432
125061,120.92174946847888
130068,176.0531622621542
135000,111.44947907732183
140029,141.9068502055275
145070,143.93352992004824
150023,132.09711732032403
155021,150.88796852156523
160011,112.07985627878872
165030,132.11781923762632
170016,124.38965412684615
175052,126.8779423108532
180055,129.78445998703447
185047,181.91713017721975
190013,188.9202477079299
195033,195.9644149078264
200063,152.85184966296788
205059,191.57591738634645
210047,213.73284848199953
215023,166.9287201684589
220048,161.34118682135727
225013,185.83805506428084
230062,168.85093362794984
235011,214.05735772516994
240015,172.76177502340738
245009,193.40471314887213
250037,203.6830646958617
255066,184.5074299226205
260053,206.06730234291823
265020,201.31537784304896
270006,191.23141742414904
275027,207.0675361653169
280009,214.86105185416014
285053,209.25821354819664
290067,195.09519585718712
295099,187.29377695255812
300025,183.19900188698549
305034,166.36492402603224
310057,206.0876484463612
315042,218.77672957049484
320013,193.66637309392294
325071,200.89635853966078
330029,191.74539751269745
335002,210.96460835801236
340056,223.9670483685202
345078,220.22647783988063
350073,214.1027079232866
355056,190.4713784323798
360065,206.12551554209662
365032,240.3825427095095
370008,210.6478602935871
375038,223.07020797497702
380072,239.3567223350207
385027,227.495856989796
390068,238.7876396377882
395009,224.24114490445288
400026,204.51143204958908
405066,212.50409859750013
410021,238.13147937258088
415041,202.42222444671725
420082,185.49690680992282
425070,222.02295346392532
430064,196.07000066070918
435067,215.78828205664954
440072,234.09823456158247
445014,264.46296390559945
450038,232.81855985522282
455075,234.32316477513982
460045,246.6588050851392
465096,221.10250818232703
470020,238.5604385038218
475065,302.6733343303204
480003,298.07922994924917
485096,269.91331008366416
490032,253.31859514117255
495004,248.65360715736952
500013,273.658479217039
505035,305.5207579872676
510070,321.1665886433588
515030,266.6258141455344
520021,310.8124317642716
525078,245.79043322346283
530017,293.1727235060599
535070,281.62816899518185
540073,272.35893430084826
545035,268.20197277184985
550045,256.41039330408813
555005,273.49049485392044
560076,358.6218641367224
565034,353.5634603682491
570019,296.9751379349166
575005,280.84970782200503
580059,314.6832996565435
585010,295.18996626966543
590005,276.76765321443486
595041,316.11992007949283
600033,305.6011822550662
605074,250.65439685144375
610024,273.3528833470255
615071,344.2989011522797
620089,274.8575876648021
625048,283.05043049234274
630005,268.86931458902035
635072,273.1570767859618
640055,401.8936206152043
645013,282.23258349617635
650000,326.65135768992417
655053,445.2536435778084
660002,335.2023852611376
665067,253.35618936353265
670035,330.5311993364658
675002,358.0575327787342
680034,383.7736847437918
685075,281.3057273998857
690073,366.61674223840237
695061,327.66330118808486
700020,401.7814909511558
705042,344.71626584314646
710080,282.62272787513217
715082,368.39123274199665
720036,386.16533233680667
725039,387.81990442011096
730084,359.95201915399076
